,J,Params
86,1.014253904402175,"[0.004, 4.311851841375574]"
87,1.0688998107279188,"[0.009696622841276925, 35.41020639723789]"
88,1.0245193658146048,"[0.008218565609125282, 35.94351036129796]"
89,1.0102423698274177,"[0.004, 3.5600350924818516]"
90,1.049455576554293,"[0.0054379915979258335, 14.194142673374525]"
91,1.1683199889446634,"[0.018556378696828312, 25.480478598546714]"
92,1.177479811038718,"[0.02126510653867827, 20.46042775335431]"
93,1.1769096297297204,"[0.022092519204545396, 23.250022651921785]"
94,1.1814420064721622,"[0.023602235166100657, 20.77318844284135]"
95,1.1819937113564705,"[0.024998837278687357, 22.62195920797369]"
96,1.1869226681035874,"[0.023602235166100657, 16.70797211608427]"
97,1.1926743039805991,"[0.023602235166100657, 13.930771961249937]"
98,1.1788915785390037,"[0.024626385594745677, 25.599032419464383]"
99,1.17388397694253,"[0.022184487776676882, 27.72672619611564]"
100,1.1623049843450652,"[0.017542416361992667, 29.958781073122935]"
101,1.170268100523374,"[0.02097099968559538, 30.831279223546478]"
102,1.1743845067762924,"[0.023602235166100657, 30.502858315782476]"
103,1.163648966149003,"[0.01886828771156283, 33.156201392838]"
104,1.1724422543740178,"[0.023602235166100657, 33.29295395885357]"
105,1.1825766876691115,"[0.02687867041097754, 24.42180912817802]"
106,1.1795776057839482,"[0.026949593082820026, 28.334224008622503]"
107,1.1747459185204623,"[0.025862181692612014, 33.57237452552325]"
108,1.1756805561985446,"[0.027602235166100657, 34.47955767984464]"
109,1.1924756662148075,"[0.02586218169261201, 15.781592824354663]"
110,1.1867648067483032,"[0.028402966414541767, 22.02015281504664]"
111,1.1803693737120031,"[0.02904022676402649, 31.006323836213852]"
112,1.1999103209261648,"[0.027351723052793948, 14.031788318745178]"
113,1.191698786030031,"[0.030125437775506348, 20.1203346644075]"
114,1.2084025225277555,"[0.02904022676402649, 12.433500370745346]"
115,1.2165760703363313,"[0.027602235166100657, 10.28738844153954]"
116,1.1690701800443086,"[0.023169929443074472, 36.08185007853016]"
117,1.2156281592571987,"[0.0247657640309791, 9.364154722659459]"
118,1.2045702906847564,"[0.021902874234141407, 9.543807240205183]"
119,1.2084506486100637,"[0.020203513302182164, 7.795698586510523]"
120,1.239324070099587,"[0.023602235166100657, 6.411995339101802]"
121,1.2489500957648156,"[0.027602235166100657, 6.709929305875945]"
122,1.3193169353362084,"[0.026491185366087622, 3.372857252153997]"
123,1.1377579305460164,"[0.025301596098059907, 0.28327281719581365]"
124,1.3130340096658477,"[0.02904022676402649, 3.8330841623824563]"
125,1.1938300125031587,"[0.017542416361992667, 7.814514156135379]"
126,1.5545210624074706,"[0.02979564630412416, 0.6701575138617963]"
127,1.335630533712993,"[0.032173767249077063, 3.28892507477933]"
128,1.3509961602414033,"[0.03438243914878995, 3.0605394486507884]"
129,1.3642695167274888,"[0.03697196452536433, 2.766078983990422]"
130,1.2818163281583868,"[0.03633139999356898, 5.6268148320400275]"
131,1.2030497206627815,"[0.03153650689959234, 15.265555759316257]"
132,1.247168077590764,"[0.03767808823713773, 7.997398106065789]"
133,1.2276020121516418,"[0.03438243914878995, 10.102281688723671]"
134,1.4334562398528745,"[0.03809667586300911, 0.34270731838646423]"
135,1.2067847117163941,"[0.03438243914878995, 14.938835807007724]"
136,1.197755520837762,"[0.033448287948046496, 18.93205462271929]"
137,1.1698946426417518,"[0.01447012275140733, 8.469639863867384]"
138,1.2638007384817402,"[0.03947517296445387, 6.6267464625642525]"
139,1.1483669774755814,"[0.011496123257170077, 7.464652910378477]"
140,0.9700452779879019,"[0.033320338566315416, 0.0]"
141,1.195588148513149,"[0.015061278375143681, 5.59893100431664]"
142,1.1959249420030464,"[0.0354982322805184, 19.268902307446606]"
143,1.2479373675355936,"[0.018556378696828312, 4.300387782008581]"
144,1.2082143416774571,"[0.03743509756802327, 14.010767049237218]"
145,1.1900018593493422,"[0.03172502602095219, 23.555588737486044]"
146,1.1890273166582004,"[0.033957598915800136, 24.69599833028369]"
147,1.1845754565597557,"[0.03194585270913282, 29.054820915973796]"
148,1.180265137926234,"[0.031006547727571474, 33.29050175939957]"
149,1.1813266196441485,"[0.03353275868281032, 31.887196604213624]"
150,1.196795124231529,"[0.03875893141799402, 16.689552693720245]"
151,1.1778569549197586,"[0.03267703112100742, 35.308453545342424]"
152,1.178289286178298,"[0.03556393314709601, 31.71113518823702]"
153,1.1744396037639817,"[0.029040226764026487, 37.312081988837505]"
154,1.1642289586928094,"[0.020619843891125453, 37.211866344737025]"
155,1.171383288445709,"[0.027312684225538446, 39.28388411802957]"
156,1.1822531326301002,"[0.03642513435642252, 26.938528445586254]"
157,1.1878809372435977,"[0.03891505017266626, 20.718553525896446]"
158,1.2276013748564998,"[0.04093223141159841, 9.477500155606885]"
159,1.1207868141261466,"[0.04114465152809332, 0.0]"
160,1.2043534577529396,"[0.04186557512623997, 12.977161522740227]"
161,1.1774228510676743,"[0.038338460425747636, 28.431582506618387]"
162,1.1840627401507096,"[0.04114465152809332, 20.300839877064544]"
163,1.1656698662413798,"[0.023602235166100657, 39.90176103516864]"
164,1.153704048636132,"[0.017542416361992667, 36.414081676579144]"
165,1.1751886108013847,"[0.03438243914878995, 36.848638600927075]"
166,1.1737270865888902,"[0.03212447679234205, 39.29094270648074]"
167,1.1727036257895656,"[0.03736743608743881, 34.22197642252075]"
168,1.1703262187380872,"[0.02856262526866366, 41.81100713579333]"
169,1.1655895971707677,"[0.02553833188535858, 42.983444755168236]"
170,1.1708830579444076,"[0.03438243914878995, 40.423720188861545]"
171,1.1695271201891977,"[0.031006547727571474, 43.43891500958243]"
172,1.167081994605988,"[0.033957598915800136, 43.929084892098246]"
173,1.1607389740422531,"[0.023602235166100657, 44.04643293074909]"
174,1.1563719770777774,"[0.020141429675493223, 41.0574178917457]"
175,1.1684068708805002,"[0.037108544854661085, 39.086447319117596]"
176,1.136555370988194,"[0.014916301210239753, 36.40527952288206]"
177,1.1639675400389629,"[0.03840215370351077, 40.87575708286259]"
178,1.1669667816988545,"[0.027602235166100657, 45.45292956491655]"
179,1.1633674949535553,"[0.037195063309898926, 44.07079410516511]"
180,1.1655738412483414,"[0.03217376724907706, 46.626673486421424]"
181,1.1639371675000714,"[0.030650140415411763, 48.855395068460105]"
182,1.1573516543894231,"[0.023602235166100657, 46.76646787221939]"
183,1.1623134472569963,"[0.029040226764026487, 50.70953604730135]"
184,1.159222138736704,"[0.03953505930153293, 43.65280359055253]"
185,1.1543649719940228,"[0.023602235166100657, 49.530581375797624]"
186,1.1478163975085343,"[0.019040929146653066, 43.37600812985795]"
187,1.1561152383006272,"[0.02586218169261201, 52.22807314663689]"
188,1.1588703227925747,"[0.03818389314107993, 46.706243620809026]"
189,1.1609499387109898,"[0.0351817796201255, 48.711333990664514]"
190,1.1603349383935733,"[0.032173767249077063, 51.46669432125004]"
191,1.1698211771560179,"[0.03965771071262898, 32.898501962698084]"
192,1.1570301303916182,"[0.04114465152809332, 41.74625885679695]"
193,1.162312669173258,"[0.04114465152809332, 36.53342277881189]"
194,1.1481429095459108,"[0.021186945526190392, 48.53168146439012]"
195,1.1575606291509601,"[0.028246416896472958, 54.03804034302415]"
196,1.1572092079755874,"[0.03438243914878995, 52.60122454528069]"
197,1.1168416799036613,"[0.01359282814379827, 38.518085104669765]"
198,1.1559006010344268,"[0.03228106842654091, 55.061149447258266]"
199,1.1551604833867395,"[0.030102327346501017, 56.992210532409196]"
200,1.1556421405994335,"[0.037195063309898926, 51.312385017827914]"
201,1.1531301652401285,"[0.04114465152809332, 45.82864684511993]"
202,1.153057135152711,"[0.02553833188535858, 55.085703018690786]"
203,1.1524495207742902,"[0.043127143997505744, 41.08252926626353]"
204,1.1533989210978282,"[0.03438243914878995, 56.27679938352781]"
205,1.136072124072652,"[0.017542416361992667, 45.278458225453676]"
206,1.153442387746668,"[0.04380574846828282, 38.26134264022393]"
207,1.1498019225395537,"[0.04114465152809332, 48.99489199120403]"
208,1.118418551901596,"[0.014581657974979272, 41.7082674821453]"
209,1.10229626412951,"[0.0074043125614708175, 4.215302019909947]"
210,1.1514284971201543,"[0.03818389314107992, 54.07496091874529]"
211,1.167392711887159,"[0.04154442086880443, 31.127307535597375]"
212,1.1437736351475472,"[0.021476559595816205, 51.889150044559244]"
213,1.174732514405424,"[0.04154442086880443, 25.262755326396746]"
214,1.150124545938973,"[0.025862181692612014, 57.82417578972222]"
215,1.1522293907547094,"[0.031006547727571474, 59.4358706382627]"
216,1.1493983620571924,"[0.03602836437543604, 58.27060269473799]"
217,1.1437563077191002,"[0.02374521764411865, 57.89236279763483]"
218,1.1461558341820746,"[0.04018754947313903, 54.760454912686384]"
219,1.1360291450103874,"[0.01891621629791707, 49.75438410619684]"
220,1.1494150431181438,"[0.027677260557913672, 60.58335299935154]"
221,1.1453983369889016,"[0.03934318765498129, 57.96229594906829]"
222,1.1756966480394715,"[0.0433316460593083, 22.37267545592721]"
223,1.0924900704967775,"[0.011961697980995351, 39.57997677030827]"
224,1.158467869721421,"[0.009953353959409692, 3.6176607657524853]"
225,1.3084559064581522,"[0.015478156964203914, 1.9622711112544131]"
226,1.4536719352380376,"[0.019468474962495284, 0.9168668587693853]"
227,1.0562289569649308,"[0.005226450728970551, 1.8442342423536118]"
228,1.1867963952651879,"[0.042530461350156756, 17.90004102749078]"
229,1.1751248296321244,"[0.04507879476191686, 20.59720545570183]"
230,1.1913322672797608,"[0.04401669417944233, 15.050396155258301]"
231,1.2021723790039145,"[0.044516251007033686, 12.106851269693124]"
232,1.1681586089221787,"[0.044867849050757344, 24.853715569145166]"
233,1.1618262617813016,"[0.044443008817767526, 30.07325008070496]"
234,1.2664554073163523,"[0.04261661188632716, 6.031545546457871]"
235,1.2234806648048435,"[0.045674356954886905, 8.84131603425848]"
236,1.2676883206707328,"[0.04559359984472394, 5.375107780927522]"
237,0.5148914662907165,"[0.011476974268314347, 0.0]"
